                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.4769,                 1.5533,                 1.8908,                 1.4295,                 1.8206,                 1.8245,                 0.5214,                0.65963,                0.63118,                0.33871,                 1.4215,                 1.4413,                 1.9594,                 1.4206,                 1.6341,                 1.9299,              0.0012297,              0.0012297,              0.0012297
                     56,                 1.4779,                 1.5309,                  1.873,                 1.4273,                 1.8127,                 1.7894,                0.64697,                0.55574,                0.63902,                0.35982,                 1.4682,                 1.3317,                 2.0593,                 1.4059,                 1.5756,                  2.005,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.4373,                 1.4746,                 1.8639,                 1.4133,                 1.7651,                 1.7954,                0.65608,                0.60333,                0.63262,                0.35216,                 1.3721,                 1.4014,                 1.9396,                 1.4078,                 1.6362,                 1.9555,              0.0012132,              0.0012132,              0.0012132
                     58,                  1.432,                 1.4955,                 1.8614,                 1.3968,                  1.743,                 1.7904,                0.65259,                0.65153,                0.67979,                0.38991,                 1.3917,                 1.2329,                 1.9651,                 1.4707,                   1.56,                 2.0881,              0.0012049,              0.0012049,              0.0012049
                     59,                 1.3805,                 1.4337,                 1.7835,                  1.327,                  1.686,                 1.7008,                 0.5799,                0.60653,                0.60975,                 0.3325,                 1.5248,                 1.3675,                 2.0718,                  1.451,                 1.6882,                  2.025,              0.0011967,              0.0011967,              0.0011967
                     60,                 1.3947,                 1.4214,                 1.7968,                 1.3611,                 1.6606,                 1.7291,                0.59609,                0.70626,                0.68691,                0.39817,                 1.3376,                 1.3231,                 1.9372,                 1.3061,                 1.4802,                 1.9372,              0.0011884,              0.0011884,              0.0011884
                     61,                 1.4293,                 1.5052,                 1.8502,                 1.4125,                 1.7917,                 1.7955,                0.60018,                0.61845,                0.61857,                0.33719,                 1.4979,                  1.354,                 2.0724,                  1.352,                 1.7161,                 1.9418,              0.0011802,              0.0011802,              0.0011802
                     62,                 1.4303,                 1.4141,                 1.8195,                 1.4017,                 1.6578,                 1.7522,                 0.7133,                0.70942,                0.74883,                0.46501,                  1.336,                 1.0903,                 1.9443,                 1.3238,                 1.2982,                 1.8941,              0.0011719,              0.0011719,              0.0011719
                     63,                 1.3911,                 1.4275,                 1.7954,                  1.364,                 1.6856,                 1.7223,                0.62638,                0.61364,                0.64075,                 0.3458,                 1.4339,                 1.4621,                 1.9807,                 1.4484,                 1.7367,                  1.993,              0.0011636,              0.0011636,              0.0011636
                     64,                 1.4118,                 1.4221,                  1.795,                 1.3666,                 1.7072,                 1.7454,                0.71252,                0.59145,                 0.6686,                0.34127,                 1.4876,                 1.3294,                 2.1104,                 1.4658,                 1.6323,                 2.0231,              0.0011554,              0.0011554,              0.0011554
                     65,                 1.4209,                 1.4321,                 1.8433,                  1.398,                 1.6998,                  1.794,                0.71132,                0.72933,                0.75066,                 0.4793,                 1.4082,                 1.0736,                 2.0433,                 1.4206,                  1.274,                 1.9716,              0.0011471,              0.0011471,              0.0011471
                     66,                 1.4141,                 1.3705,                 1.8003,                 1.3865,                 1.6129,                 1.7326,                 0.7392,                0.71916,                0.77715,                0.46631,                 1.2499,                 1.0396,                 1.7874,                 1.3492,                 1.3185,                 1.8751,              0.0011389,              0.0011389,              0.0011389
                     67,                  1.419,                 1.4346,                 1.8201,                 1.3934,                 1.6944,                 1.7666,                0.79462,                0.57388,                0.68709,                 0.4207,                 1.4173,                 1.1688,                 1.9854,                 1.3792,                  1.417,                 1.9946,              0.0011306,              0.0011306,              0.0011306
                     68,                   1.35,                 1.3428,                 1.7493,                 1.2978,                 1.6051,                 1.6648,                0.68418,                0.66796,                0.71291,                0.43558,                 1.3084,                  1.179,                 1.8257,                 1.2871,                 1.3747,                 1.8418,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.3321,                 1.3385,                  1.745,                 1.3271,                 1.6143,                 1.7002,                0.80567,                0.66021,                0.72794,                0.42483,                  1.429,                 1.2488,                 2.0596,                 1.4392,                 1.3548,                 2.0945,              0.0011141,              0.0011141,              0.0011141
                     70,                 1.3638,                 1.3761,                 1.7767,                 1.3359,                 1.6176,                 1.7226,                0.65551,                0.69535,                0.72502,                0.37837,                 1.3124,                 1.2374,                  1.847,                 1.3979,                 1.3455,                 1.8685,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.3321,                 1.3816,                 1.7334,                 1.3169,                 1.6346,                  1.676,                0.66355,                0.60065,                  0.675,                0.42706,                 1.3444,                 1.2618,                 1.8996,                 1.5028,                 1.5065,                 1.9981,              0.0010976,              0.0010976,              0.0010976
